dataset,symbol,status,range_start,range_end,error,fingerprint,category,adapter_version,raw_status,first_failure,last_failure,attempts,next_action
valuation_daily,300156.SZ,FAILED,UNKNOWN,UNKNOWN,300156.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:52:06.368492+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300178.SZ,FAILED,UNKNOWN,UNKNOWN,300178.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:52:12.460830+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300186.SZ,FAILED,UNKNOWN,UNKNOWN,300186.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:52:18.905012+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300202.SZ,FAILED,UNKNOWN,UNKNOWN,300202.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:52:25.099287+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300208.SZ,FAILED,UNKNOWN,UNKNOWN,300208.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:52:31.357878+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300216.SZ,FAILED,UNKNOWN,UNKNOWN,300216.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:52:37.460563+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300262.SZ,FAILED,UNKNOWN,UNKNOWN,300262.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:52:43.776698+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300273.SZ,FAILED,UNKNOWN,UNKNOWN,300273.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:52:49.938146+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300280.SZ,FAILED,UNKNOWN,UNKNOWN,300280.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:52:56.223380+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300282.SZ,FAILED,UNKNOWN,UNKNOWN,300282.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:53:02.584472+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
